Point,Corner,Iinput,mc_iteration,temperature,Pass/Fail,Z2
102,mc_40,840e-9,2,-40,,30.41e-9
103,mc150,840e-9,3,150,,33.79e-9
103,mc_40,840e-9,3,-40,,30.31e-9
104,mc150,840e-9,4,150,,34.29e-9
104,mc_40,840e-9,4,-40,,31.21e-9
105,mc150,840e-9,5,150,,34.53e-9
105,mc_40,840e-9,5,-40,,31.29e-9
106,mc150,840e-9,6,150,,28.76e-9
106,mc_40,840e-9,6,-40,,26.79e-9
107,mc150,840e-9,7,150,,40.09e-9
107,mc_40,840e-9,7,-40,,35.95e-9
108,mc150,840e-9,8,150,,34.72e-9
108,mc_40,840e-9,8,-40,,31.67e-9
109,mc150,840e-9,9,150,,35.15e-9
109,mc_40,840e-9,9,-40,,31.8e-9
110,mc150,840e-9,10,150,,39.3e-9
110,mc_40,840e-9,10,-40,,35.57e-9
111,mc150,840e-9,11,150,,27.36e-9
111,mc_40,840e-9,11,-40,,24.42e-9
112,mc150,840e-9,12,150,,30.18e-9
112,mc_40,840e-9,12,-40,,27.59e-9
113,mc150,840e-9,13,150,,40.61e-9
113,mc_40,840e-9,13,-40,,38.22e-9
114,mc150,840e-9,14,150,,34.24e-9
114,mc_40,840e-9,14,-40,,30.93e-9
115,mc150,840e-9,15,150,,33.93e-9
115,mc_40,840e-9,15,-40,,30.74e-9
116,mc150,840e-9,16,150,,37.76e-9
116,mc_40,840e-9,16,-40,,35.15e-9
117,mc150,840e-9,17,150,,35.25e-9
117,mc_40,840e-9,17,-40,,31.75e-9
118,mc150,840e-9,18,150,,25.89e-9
118,mc_40,840e-9,18,-40,,23.58e-9
119,mc150,840e-9,19,150,,36.04e-9
119,mc_40,840e-9,19,-40,,32.95e-9
120,mc150,840e-9,20,150,,34.2e-9
120,mc_40,840e-9,20,-40,,29.82e-9
121,mc150,840e-9,21,150,,36.36e-9
121,mc_40,840e-9,21,-40,,33.15e-9
122,mc150,840e-9,22,150,,23.35e-9
122,mc_40,840e-9,22,-40,,22.24e-9
123,mc150,840e-9,23,150,,34.86e-9
123,mc_40,840e-9,23,-40,,31.51e-9
124,mc150,840e-9,24,150,,39.87e-9
124,mc_40,840e-9,24,-40,,36.29e-9
125,mc150,840e-9,25,150,,37.39e-9
125,mc_40,840e-9,25,-40,,34.03e-9
126,mc150,840e-9,26,150,,27.58e-9
126,mc_40,840e-9,26,-40,,25.63e-9
127,mc150,840e-9,27,150,,36.06e-9
127,mc_40,840e-9,27,-40,,32.31e-9
128,mc150,840e-9,28,150,,39.59e-9
128,mc_40,840e-9,28,-40,,36.69e-9
129,mc150,840e-9,29,150,,36.47e-9
129,mc_40,840e-9,29,-40,,32.71e-9
130,mc150,840e-9,30,150,,27.53e-9
130,mc_40,840e-9,30,-40,,24.8e-9
131,mc150,840e-9,31,150,,36.78e-9
131,mc_40,840e-9,31,-40,,33.6e-9
132,mc150,840e-9,32,150,,30.7e-9
132,mc_40,840e-9,32,-40,,27.7e-9
133,mc150,840e-9,33,150,,41.45e-9
133,mc_40,840e-9,33,-40,,38.08e-9
134,mc150,840e-9,34,150,,39.92e-9
134,mc_40,840e-9,34,-40,,36.93e-9
135,mc150,840e-9,35,150,,30.87e-9
135,mc_40,840e-9,35,-40,,27.8e-9
136,mc150,840e-9,36,150,,30.15e-9
136,mc_40,840e-9,36,-40,,27.14e-9
137,mc150,840e-9,37,150,,32.31e-9
137,mc_40,840e-9,37,-40,,28.67e-9
138,mc150,840e-9,38,150,,32.56e-9
138,mc_40,840e-9,38,-40,,29.24e-9
139,mc150,840e-9,39,150,,34.22e-9
139,mc_40,840e-9,39,-40,,31.67e-9
140,mc150,840e-9,40,150,,31.83e-9
140,mc_40,840e-9,40,-40,,28.54e-9
141,mc150,840e-9,41,150,,35.07e-9
141,mc_40,840e-9,41,-40,,32.6e-9
142,mc150,840e-9,42,150,,32.5e-9
142,mc_40,840e-9,42,-40,,29.24e-9
143,mc150,840e-9,43,150,,33.41e-9
143,mc_40,840e-9,43,-40,,31.06e-9
144,mc150,840e-9,44,150,,30.99e-9
144,mc_40,840e-9,44,-40,,27.89e-9
145,mc150,840e-9,45,150,,40.32e-9
145,mc_40,840e-9,45,-40,,37.07e-9
146,mc150,840e-9,46,150,,41.31e-9
146,mc_40,840e-9,46,-40,,38.13e-9
147,mc150,840e-9,47,150,,30.37e-9
147,mc_40,840e-9,47,-40,,27.48e-9
148,mc150,840e-9,48,150,,37.74e-9
148,mc_40,840e-9,48,-40,,34.86e-9
149,mc150,840e-9,49,150,,27.78e-9
149,mc_40,840e-9,49,-40,,25.53e-9
150,mc150,840e-9,50,150,,33.43e-9
150,mc_40,840e-9,50,-40,,30.41e-9
151,mc150,1.24e-6,1,150,,50.8e-9
151,mc_40,1.24e-6,1,-40,,47.82e-9
152,mc150,1.24e-6,2,150,,43.93e-9
152,mc_40,1.24e-6,2,-40,,40.37e-9
153,mc150,1.24e-6,3,150,,44.07e-9
153,mc_40,1.24e-6,3,-40,,39.97e-9
154,mc150,1.24e-6,4,150,,44.73e-9
154,mc_40,1.24e-6,4,-40,,41.36e-9
155,mc150,1.24e-6,5,150,,44.93e-9
155,mc_40,1.24e-6,5,-40,,41.25e-9
156,mc150,1.24e-6,6,150,,38.43e-9
156,mc_40,1.24e-6,6,-40,,36.31e-9
157,mc150,1.24e-6,7,150,,51.51e-9
157,mc_40,1.24e-6,7,-40,,46.92e-9
158,mc150,1.24e-6,8,150,,45.28e-9
158,mc_40,1.24e-6,8,-40,,41.91e-9
159,mc150,1.24e-6,9,150,,45.66e-9
159,mc_40,1.24e-6,9,-40,,41.89e-9
160,mc150,1.24e-6,10,150,,50.36e-9
160,mc_40,1.24e-6,10,-40,,46.24e-9
161,mc150,1.24e-6,11,150,,36.76e-9
161,mc_40,1.24e-6,11,-40,,33.32e-9
162,mc150,1.24e-6,12,150,,40.04e-9
162,mc_40,1.24e-6,12,-40,,37.17e-9
163,mc150,1.24e-6,13,150,,52.02e-9
163,mc_40,1.24e-6,13,-40,,49.41e-9
164,mc150,1.24e-6,14,150,,44.69e-9
164,mc_40,1.24e-6,14,-40,,41.03e-9
165,mc150,1.24e-6,15,150,,44.2e-9
165,mc_40,1.24e-6,15,-40,,40.51e-9
166,mc150,1.24e-6,16,150,,48.82e-9
166,mc_40,1.24e-6,16,-40,,45.93e-9
167,mc150,1.24e-6,17,150,,45.74e-9
167,mc_40,1.24e-6,17,-40,,41.8e-9
168,mc150,1.24e-6,18,150,,35.11e-9
168,mc_40,1.24e-6,18,-40,,32.48e-9
169,mc150,1.24e-6,19,150,,46.69e-9
169,mc_40,1.24e-6,19,-40,,43.29e-9
170,mc150,1.24e-6,20,150,,44.54e-9
170,mc_40,1.24e-6,20,-40,,39.51e-9
171,mc150,1.24e-6,21,150,,47.14e-9
171,mc_40,1.24e-6,21,-40,,43.59e-9
172,mc150,1.24e-6,22,150,,32.16e-9
172,mc_40,1.24e-6,22,-40,,30.71e-9
173,mc150,1.24e-6,23,150,,45.29e-9
173,mc_40,1.24e-6,23,-40,,41.55e-9
174,mc150,1.24e-6,24,150,,50.97e-9
174,mc_40,1.24e-6,24,-40,,47e-9
175,mc150,1.24e-6,25,150,,48.34e-9
175,mc_40,1.24e-6,25,-40,,44.6e-9
176,mc150,1.24e-6,26,150,,36.97e-9
176,mc_40,1.24e-6,26,-40,,34.77e-9
177,mc150,1.24e-6,27,150,,46.73e-9
177,mc_40,1.24e-6,27,-40,,42.55e-9
178,mc150,1.24e-6,28,150,,50.95e-9
178,mc_40,1.24e-6,28,-40,,47.72e-9
179,mc150,1.24e-6,29,150,,47.14e-9
179,mc_40,1.24e-6,29,-40,,42.91e-9
180,mc150,1.24e-6,30,150,,36.99e-9
180,mc_40,1.24e-6,30,-40,,33.89e-9
181,mc150,1.24e-6,31,150,,47.55e-9
181,mc_40,1.24e-6,31,-40,,44.04e-9
182,mc150,1.24e-6,32,150,,40.58e-9
182,mc_40,1.24e-6,32,-40,,37.04e-9
183,mc150,1.24e-6,33,150,,52.8e-9
183,mc_40,1.24e-6,33,-40,,49.11e-9
184,mc150,1.24e-6,34,150,,51.18e-9
184,mc_40,1.24e-6,34,-40,,47.89e-9
185,mc150,1.24e-6,35,150,,40.8e-9
185,mc_40,1.24e-6,35,-40,,37.37e-9
186,mc150,1.24e-6,36,150,,39.96e-9
186,mc_40,1.24e-6,36,-40,,36.26e-9
187,mc150,1.24e-6,37,150,,42.47e-9
187,mc_40,1.24e-6,37,-40,,38.35e-9
188,mc150,1.24e-6,38,150,,42.67e-9
188,mc_40,1.24e-6,38,-40,,38.88e-9
189,mc150,1.24e-6,39,150,,44.76e-9
189,mc_40,1.24e-6,39,-40,,41.95e-9
190,mc150,1.24e-6,40,150,,41.84e-9
190,mc_40,1.24e-6,40,-40,,37.93e-9
191,mc150,1.24e-6,41,150,,45.63e-9
191,mc_40,1.24e-6,41,-40,,42.92e-9
192,mc150,1.24e-6,42,150,,42.63e-9
192,mc_40,1.24e-6,42,-40,,38.92e-9
193,mc150,1.24e-6,43,150,,43.9e-9
193,mc_40,1.24e-6,43,-40,,41.32e-9
194,mc150,1.24e-6,44,150,,40.92e-9
194,mc_40,1.24e-6,44,-40,,37.33e-9
195,mc150,1.24e-6,45,150,,51.5e-9
195,mc_40,1.24e-6,45,-40,,47.96e-9
196,mc150,1.24e-6,46,150,,52.88e-9
196,mc_40,1.24e-6,46,-40,,49.33e-9
197,mc150,1.24e-6,47,150,,40.23e-9
197,mc_40,1.24e-6,47,-40,,37.01e-9
198,mc150,1.24e-6,48,150,,48.62e-9
198,mc_40,1.24e-6,48,-40,,45.41e-9
199,mc150,1.24e-6,49,150,,37.21e-9
199,mc_40,1.24e-6,49,-40,,34.69e-9
200,mc150,1.24e-6,50,150,,43.73e-9
200,mc_40,1.24e-6,50,-40,,40.27e-9
201,mc150,1.64e-6,1,150,,62.33e-9
