Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,/Inv_Out,Delay
126,C1,604e-3,26,150,,,820.8e-12
127,C0,604e-3,27,-40,,,735.4e-12
127,C1,604e-3,27,150,,,750.5e-12
128,C0,604e-3,28,-40,,,561.3e-12
128,C1,604e-3,28,150,,,501.7e-12
129,C0,604e-3,29,-40,,,771.4e-12
129,C1,604e-3,29,150,,,805.4e-12
130,C0,604e-3,30,-40,,,724.6e-12
130,C1,604e-3,30,150,,,731.6e-12
131,C0,604e-3,31,-40,,,689e-12
131,C1,604e-3,31,150,,,703.4e-12
132,C0,604e-3,32,-40,,,782.6e-12
132,C1,604e-3,32,150,,,826.8e-12
133,C0,604e-3,33,-40,,,753.1e-12
133,C1,604e-3,33,150,,,814.3e-12
134,C0,604e-3,34,-40,,,610.1e-12
134,C1,604e-3,34,150,,,612.9e-12
135,C0,604e-3,35,-40,,,704.7e-12
135,C1,604e-3,35,150,,,704.2e-12
136,C0,604e-3,36,-40,,,853.2e-12
136,C1,604e-3,36,150,,,928.8e-12
137,C0,604e-3,37,-40,,,698.5e-12
137,C1,604e-3,37,150,,,679.2e-12
138,C0,604e-3,38,-40,,,766.6e-12
138,C1,604e-3,38,150,,,799.5e-12
139,C0,604e-3,39,-40,,,573.8e-12
139,C1,604e-3,39,150,,,539.1e-12
140,C0,604e-3,40,-40,,,825.7e-12
140,C1,604e-3,40,150,,,884.9e-12
141,C0,604e-3,41,-40,,,639e-12
141,C1,604e-3,41,150,,,691.2e-12
142,C0,604e-3,42,-40,,,746.7e-12
142,C1,604e-3,42,150,,,769.3e-12
143,C0,604e-3,43,-40,,,480.8e-12
143,C1,604e-3,43,150,,,eval err
144,C0,604e-3,44,-40,,,765.3e-12
144,C1,604e-3,44,150,,,800.4e-12
145,C0,604e-3,45,-40,,,722.2e-12
145,C1,604e-3,45,150,,,769e-12
146,C0,604e-3,46,-40,,,588.4e-12
146,C1,604e-3,46,150,,,545.5e-12
147,C0,604e-3,47,-40,,,672.8e-12
147,C1,604e-3,47,150,,,650.6e-12
148,C0,604e-3,48,-40,,,691e-12
148,C1,604e-3,48,150,,,746.3e-12
149,C0,604e-3,49,-40,,,745.3e-12
149,C1,604e-3,49,150,,,788.7e-12
150,C0,604e-3,50,-40,,,737.7e-12
150,C1,604e-3,50,150,,,774.9e-12
151,C0,604e-3,51,-40,,,712.5e-12
151,C1,604e-3,51,150,,,717.1e-12
152,C0,604e-3,52,-40,,,702.3e-12
152,C1,604e-3,52,150,,,748.2e-12
153,C0,604e-3,53,-40,,,eval err
153,C1,604e-3,53,150,,,eval err
154,C0,604e-3,54,-40,,,713.2e-12
154,C1,604e-3,54,150,,,707.5e-12
155,C0,604e-3,55,-40,,,720e-12
155,C1,604e-3,55,150,,,762.4e-12
156,C0,604e-3,56,-40,,,695.7e-12
156,C1,604e-3,56,150,,,745.4e-12
157,C0,604e-3,57,-40,,,778.1e-12
