Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
107,MC40,143.3e-3,47,-40,,,1.744e-9
107,MC150,143.3e-3,47,150,,,1.862e-9
108,MC40,143.3e-3,48,-40,,,1.773e-9
108,MC150,143.3e-3,48,150,,,1.801e-9
109,MC40,143.3e-3,49,-40,,,1.572e-9
109,MC150,143.3e-3,49,150,,,1.663e-9
110,MC40,143.3e-3,50,-40,,,1.67e-9
110,MC150,143.3e-3,50,150,,,1.743e-9
111,MC40,143.3e-3,51,-40,,,1.831e-9
111,MC150,143.3e-3,51,150,,,1.894e-9
112,MC40,143.3e-3,52,-40,,,1.732e-9
112,MC150,143.3e-3,52,150,,,1.779e-9
113,MC40,143.3e-3,53,-40,,,2.225e-9
113,MC150,143.3e-3,53,150,,,2.246e-9
114,MC40,143.3e-3,54,-40,,,1.781e-9
114,MC150,143.3e-3,54,150,,,1.866e-9
115,MC40,143.3e-3,55,-40,,,1.645e-9
115,MC150,143.3e-3,55,150,,,1.719e-9
116,MC40,143.3e-3,56,-40,,,1.752e-9
116,MC150,143.3e-3,56,150,,,1.791e-9
117,MC40,143.3e-3,57,-40,,,1.499e-9
117,MC150,143.3e-3,57,150,,,1.606e-9
118,MC40,143.3e-3,58,-40,,,1.814e-9
118,MC150,143.3e-3,58,150,,,1.885e-9
119,MC40,143.3e-3,59,-40,,,1.657e-9
119,MC150,143.3e-3,59,150,,,1.731e-9
120,MC40,143.3e-3,60,-40,,,1.792e-9
120,MC150,143.3e-3,60,150,,,1.799e-9
121,MC40,186.7e-3,1,-40,,,2.798e-9
121,MC150,186.7e-3,1,150,,,2.844e-9
122,MC40,186.7e-3,2,-40,,,2.671e-9
122,MC150,186.7e-3,2,150,,,2.783e-9
123,MC40,186.7e-3,3,-40,,,2.408e-9
123,MC150,186.7e-3,3,150,,,2.447e-9
124,MC40,186.7e-3,4,-40,,,2.734e-9
124,MC150,186.7e-3,4,150,,,2.842e-9
125,MC40,186.7e-3,5,-40,,,2.499e-9
125,MC150,186.7e-3,5,150,,,2.553e-9
126,MC40,186.7e-3,6,-40,,,2.666e-9
126,MC150,186.7e-3,6,150,,,2.797e-9
127,MC40,186.7e-3,7,-40,,,2.918e-9
127,MC150,186.7e-3,7,150,,,3.004e-9
128,MC40,186.7e-3,8,-40,,,2.77e-9
128,MC150,186.7e-3,8,150,,,2.876e-9
129,MC40,186.7e-3,9,-40,,,2.512e-9
129,MC150,186.7e-3,9,150,,,2.581e-9
130,MC40,186.7e-3,10,-40,,,2.6e-9
130,MC150,186.7e-3,10,150,,,2.649e-9
131,MC40,186.7e-3,11,-40,,,2.358e-9
131,MC150,186.7e-3,11,150,,,2.47e-9
132,MC40,186.7e-3,12,-40,,,2.604e-9
132,MC150,186.7e-3,12,150,,,2.739e-9
133,MC40,186.7e-3,13,-40,,,2.868e-9
133,MC150,186.7e-3,13,150,,,2.894e-9
134,MC40,186.7e-3,14,-40,,,2.69e-9
134,MC150,186.7e-3,14,150,,,2.804e-9
135,MC40,186.7e-3,15,-40,,,2.467e-9
135,MC150,186.7e-3,15,150,,,2.512e-9
136,MC40,186.7e-3,16,-40,,,2.839e-9
136,MC150,186.7e-3,16,150,,,2.903e-9
137,MC40,186.7e-3,17,-40,,,2.56e-9
137,MC150,186.7e-3,17,150,,,2.64e-9
138,MC40,186.7e-3,18,-40,,,2.476e-9
138,MC150,186.7e-3,18,150,,,2.632e-9
139,MC40,186.7e-3,19,-40,,,2.676e-9
139,MC150,186.7e-3,19,150,,,2.759e-9
140,MC40,186.7e-3,20,-40,,,2.478e-9
140,MC150,186.7e-3,20,150,,,2.578e-9
141,MC40,186.7e-3,21,-40,,,2.729e-9
141,MC150,186.7e-3,21,150,,,2.825e-9
142,MC40,186.7e-3,22,-40,,,2.252e-9
142,MC150,186.7e-3,22,150,,,2.331e-9
143,MC40,186.7e-3,23,-40,,,2.619e-9
143,MC150,186.7e-3,23,150,,,2.712e-9
144,MC40,186.7e-3,24,-40,,,2.523e-9
144,MC150,186.7e-3,24,150,,,2.502e-9
145,MC40,186.7e-3,25,-40,,,2.751e-9
145,MC150,186.7e-3,25,150,,,2.847e-9
146,MC40,186.7e-3,26,-40,,,2.427e-9
146,MC150,186.7e-3,26,150,,,2.513e-9
147,MC40,186.7e-3,27,-40,,,2.619e-9
147,MC150,186.7e-3,27,150,,,2.718e-9
148,MC40,186.7e-3,28,-40,,,2.882e-9
148,MC150,186.7e-3,28,150,,,2.95e-9
149,MC40,186.7e-3,29,-40,,,2.568e-9
149,MC150,186.7e-3,29,150,,,2.648e-9
150,MC40,186.7e-3,30,-40,,,2.51e-9
150,MC150,186.7e-3,30,150,,,2.659e-9
151,MC40,186.7e-3,31,-40,,,2.695e-9
151,MC150,186.7e-3,31,150,,,2.779e-9
152,MC40,186.7e-3,32,-40,,,2.463e-9
152,MC150,186.7e-3,32,150,,,2.564e-9
153,MC40,186.7e-3,33,-40,,,2.649e-9
153,MC150,186.7e-3,33,150,,,2.67e-9
154,MC40,186.7e-3,34,-40,,,2.83e-9
154,MC150,186.7e-3,34,150,,,2.885e-9
155,MC40,186.7e-3,35,-40,,,2.59e-9
155,MC150,186.7e-3,35,150,,,2.722e-9
156,MC40,186.7e-3,36,-40,,,2.319e-9
156,MC150,186.7e-3,36,150,,,2.35e-9
157,MC40,186.7e-3,37,-40,,,2.623e-9
157,MC150,186.7e-3,37,150,,,2.759e-9
158,MC40,186.7e-3,38,-40,,,2.519e-9
158,MC150,186.7e-3,38,150,,,2.62e-9
159,MC40,186.7e-3,39,-40,,,2.777e-9
159,MC150,186.7e-3,39,150,,,2.874e-9
160,MC40,186.7e-3,40,-40,,,2.405e-9
160,MC150,186.7e-3,40,150,,,2.47e-9
161,MC40,186.7e-3,41,-40,,,2.677e-9
161,MC150,186.7e-3,41,150,,,2.748e-9
162,MC40,186.7e-3,42,-40,,,2.552e-9
162,MC150,186.7e-3,42,150,,,2.66e-9
163,MC40,186.7e-3,43,-40,,,2.848e-9
163,MC150,186.7e-3,43,150,,,2.94e-9
164,MC40,186.7e-3,44,-40,,,2.494e-9
164,MC150,186.7e-3,44,150,,,2.607e-9
165,MC40,186.7e-3,45,-40,,,2.684e-9
165,MC150,186.7e-3,45,150,,,2.727e-9
166,MC40,186.7e-3,46,-40,,,2.89e-9
166,MC150,186.7e-3,46,150,,,2.951e-9
167,MC40,186.7e-3,47,-40,,,2.635e-9
167,MC150,186.7e-3,47,150,,,2.768e-9
168,MC40,186.7e-3,48,-40,,,2.667e-9
168,MC150,186.7e-3,48,150,,,2.717e-9
169,MC40,186.7e-3,49,-40,,,2.464e-9
169,MC150,186.7e-3,49,150,,,2.577e-9
170,MC40,186.7e-3,50,-40,,,2.564e-9
170,MC150,186.7e-3,50,150,,,2.66e-9
171,MC40,186.7e-3,51,-40,,,2.729e-9
171,MC150,186.7e-3,51,150,,,2.807e-9
172,MC40,186.7e-3,52,-40,,,2.625e-9
172,MC150,186.7e-3,52,150,,,2.695e-9
173,MC40,186.7e-3,53,-40,,,3.113e-9
173,MC150,186.7e-3,53,150,,,3.143e-9
174,MC40,186.7e-3,54,-40,,,2.679e-9
174,MC150,186.7e-3,54,150,,,2.781e-9
175,MC40,186.7e-3,55,-40,,,2.538e-9
175,MC150,186.7e-3,55,150,,,2.634e-9
176,MC40,186.7e-3,56,-40,,,2.646e-9
176,MC150,186.7e-3,56,150,,,2.707e-9
177,MC40,186.7e-3,57,-40,,,2.392e-9
177,MC150,186.7e-3,57,150,,,2.522e-9
178,MC40,186.7e-3,58,-40,,,2.712e-9
178,MC150,186.7e-3,58,150,,,2.799e-9
179,MC40,186.7e-3,59,-40,,,2.55e-9
179,MC150,186.7e-3,59,150,,,2.647e-9
180,MC40,186.7e-3,60,-40,,,2.685e-9
180,MC150,186.7e-3,60,150,,,2.715e-9
181,MC40,230e-3,1,-40,,,3.689e-9
181,MC150,230e-3,1,150,,,3.749e-9
182,MC40,230e-3,2,-40,,,3.561e-9
182,MC150,230e-3,2,150,,,3.686e-9
183,MC40,230e-3,3,-40,,,3.308e-9
183,MC150,230e-3,3,150,,,3.375e-9
184,MC40,230e-3,4,-40,,,3.623e-9
184,MC150,230e-3,4,150,,,3.743e-9
185,MC40,230e-3,5,-40,,,3.394e-9
185,MC150,230e-3,5,150,,,3.471e-9
186,MC40,230e-3,6,-40,,,3.551e-9
186,MC150,230e-3,6,150,,,3.692e-9
187,MC40,230e-3,7,-40,,,3.812e-9
187,MC150,230e-3,7,150,,,3.909e-9
188,MC40,230e-3,8,-40,,,3.659e-9
188,MC150,230e-3,8,150,,,3.777e-9
189,MC40,230e-3,9,-40,,,3.407e-9
189,MC150,230e-3,9,150,,,3.497e-9
190,MC40,230e-3,10,-40,,,3.497e-9
190,MC150,230e-3,10,150,,,3.567e-9
191,MC40,230e-3,11,-40,,,3.253e-9
191,MC150,230e-3,11,150,,,3.383e-9
192,MC40,230e-3,12,-40,,,3.492e-9
192,MC150,230e-3,12,150,,,3.638e-9
193,MC40,230e-3,13,-40,,,3.758e-9
193,MC150,230e-3,13,150,,,3.796e-9
194,MC40,230e-3,14,-40,,,3.58e-9
194,MC150,230e-3,14,150,,,3.708e-9
195,MC40,230e-3,15,-40,,,3.364e-9
195,MC150,230e-3,15,150,,,3.434e-9
196,MC40,230e-3,16,-40,,,3.728e-9
196,MC150,230e-3,16,150,,,3.804e-9
197,MC40,230e-3,17,-40,,,3.455e-9
197,MC150,230e-3,17,150,,,3.553e-9
198,MC40,230e-3,18,-40,,,3.364e-9
198,MC150,230e-3,18,150,,,3.531e-9
199,MC40,230e-3,19,-40,,,3.567e-9
199,MC150,230e-3,19,150,,,3.665e-9
200,MC40,230e-3,20,-40,,,3.376e-9
200,MC150,230e-3,20,150,,,3.496e-9
201,MC40,230e-3,21,-40,,,3.619e-9
201,MC150,230e-3,21,150,,,3.729e-9
202,MC40,230e-3,22,-40,,,3.145e-9
202,MC150,230e-3,22,150,,,3.243e-9
203,MC40,230e-3,23,-40,,,3.512e-9
203,MC150,230e-3,23,150,,,3.622e-9
204,MC40,230e-3,24,-40,,,3.423e-9
204,MC150,230e-3,24,150,,,3.438e-9
205,MC40,230e-3,25,-40,,,3.642e-9
205,MC150,230e-3,25,150,,,3.752e-9
206,MC40,230e-3,26,-40,,,3.317e-9
206,MC150,230e-3,26,150,,,3.42e-9
207,MC40,230e-3,27,-40,,,3.513e-9
207,MC150,230e-3,27,150,,,3.628e-9
208,MC40,230e-3,28,-40,,,3.771e-9
208,MC150,230e-3,28,150,,,3.853e-9
209,MC40,230e-3,29,-40,,,3.464e-9
209,MC150,230e-3,29,150,,,3.563e-9
210,MC40,230e-3,30,-40,,,3.399e-9
210,MC150,230e-3,30,150,,,3.559e-9
211,MC40,230e-3,31,-40,,,3.587e-9
211,MC150,230e-3,31,150,,,3.685e-9
212,MC40,230e-3,32,-40,,,3.357e-9
212,MC150,230e-3,32,150,,,3.475e-9
213,MC40,230e-3,33,-40,,,3.545e-9
213,MC150,230e-3,33,150,,,3.588e-9
214,MC40,230e-3,34,-40,,,3.722e-9
214,MC150,230e-3,34,150,,,3.79e-9
215,MC40,230e-3,35,-40,,,3.481e-9
215,MC150,230e-3,35,150,,,3.624e-9
216,MC40,230e-3,36,-40,,,3.219e-9
216,MC150,230e-3,36,150,,,3.281e-9
217,MC40,230e-3,37,-40,,,3.514e-9
217,MC150,230e-3,37,150,,,3.664e-9
218,MC40,230e-3,38,-40,,,3.412e-9
218,MC150,230e-3,38,150,,,3.531e-9
219,MC40,230e-3,39,-40,,,3.664e-9
219,MC150,230e-3,39,150,,,3.773e-9
220,MC40,230e-3,40,-40,,,3.302e-9
220,MC150,230e-3,40,150,,,3.391e-9
221,MC40,230e-3,41,-40,,,3.566e-9
221,MC150,230e-3,41,150,,,3.651e-9
222,MC40,230e-3,42,-40,,,3.445e-9
222,MC150,230e-3,42,150,,,3.568e-9
223,MC40,230e-3,43,-40,,,3.734e-9
223,MC150,230e-3,43,150,,,3.836e-9
224,MC40,230e-3,44,-40,,,3.386e-9
224,MC150,230e-3,44,150,,,3.515e-9
225,MC40,230e-3,45,-40,,,3.578e-9
225,MC150,230e-3,45,150,,,3.64e-9
226,MC40,230e-3,46,-40,,,3.783e-9
226,MC150,230e-3,46,150,,,3.856e-9
227,MC40,230e-3,47,-40,,,3.523e-9
227,MC150,230e-3,47,150,,,3.667e-9
228,MC40,230e-3,48,-40,,,3.559e-9
228,MC150,230e-3,48,150,,,3.627e-9
229,MC40,230e-3,49,-40,,,3.354e-9
229,MC150,230e-3,49,150,,,3.482e-9
230,MC40,230e-3,50,-40,,,3.456e-9
230,MC150,230e-3,50,150,,,3.568e-9
231,MC40,230e-3,51,-40,,,3.626e-9
231,MC150,230e-3,51,150,,,3.719e-9
232,MC40,230e-3,52,-40,,,3.517e-9
232,MC150,230e-3,52,150,,,3.604e-9
233,MC40,230e-3,53,-40,,,4.002e-9
233,MC150,230e-3,53,150,,,4.041e-9
234,MC40,230e-3,54,-40,,,3.574e-9
234,MC150,230e-3,54,150,,,3.691e-9
235,MC40,230e-3,55,-40,,,3.428e-9
235,MC150,230e-3,55,150,,,3.54e-9
236,MC40,230e-3,56,-40,,,3.538e-9
236,MC150,230e-3,56,150,,,3.617e-9
237,MC40,230e-3,57,-40,,,3.282e-9
237,MC150,230e-3,57,150,,,3.427e-9
238,MC40,230e-3,58,-40,,,3.607e-9
238,MC150,230e-3,58,150,,,3.709e-9
239,MC40,230e-3,59,-40,,,3.442e-9
239,MC150,230e-3,59,150,,,3.555e-9
240,MC40,230e-3,60,-40,,,3.577e-9
240,MC150,230e-3,60,150,,,3.626e-9
241,MC40,273.3e-3,1,-40,,,4.577e-9
241,MC150,273.3e-3,1,150,,,4.651e-9
242,MC40,273.3e-3,2,-40,,,4.45e-9
242,MC150,273.3e-3,2,150,,,4.586e-9
243,MC40,273.3e-3,3,-40,,,4.2e-9
243,MC150,273.3e-3,3,150,,,4.291e-9
244,MC40,273.3e-3,4,-40,,,4.511e-9
244,MC150,273.3e-3,4,150,,,4.642e-9
245,MC40,273.3e-3,5,-40,,,4.284e-9
245,MC150,273.3e-3,5,150,,,4.38e-9
246,MC40,273.3e-3,6,-40,,,4.435e-9
246,MC150,273.3e-3,6,150,,,4.584e-9
247,MC40,273.3e-3,7,-40,,,4.703e-9
247,MC150,273.3e-3,7,150,,,4.808e-9
248,MC40,273.3e-3,8,-40,,,4.545e-9
248,MC150,273.3e-3,8,150,,,4.674e-9
249,MC40,273.3e-3,9,-40,,,4.297e-9
249,MC150,273.3e-3,9,150,,,4.406e-9
250,MC40,273.3e-3,10,-40,,,4.39e-9
250,MC150,273.3e-3,10,150,,,4.48e-9
251,MC40,273.3e-3,11,-40,,,4.142e-9
251,MC150,273.3e-3,11,150,,,4.286e-9
252,MC40,273.3e-3,12,-40,,,4.377e-9
252,MC150,273.3e-3,12,150,,,4.534e-9
253,MC40,273.3e-3,13,-40,,,4.645e-9
253,MC150,273.3e-3,13,150,,,4.696e-9
254,MC40,273.3e-3,14,-40,,,4.469e-9
254,MC150,273.3e-3,14,150,,,4.607e-9
255,MC40,273.3e-3,15,-40,,,4.255e-9
255,MC150,273.3e-3,15,150,,,4.345e-9
256,MC40,273.3e-3,16,-40,,,4.615e-9
256,MC150,273.3e-3,16,150,,,4.702e-9
257,MC40,273.3e-3,17,-40,,,4.346e-9
257,MC150,273.3e-3,17,150,,,4.461e-9
258,MC40,273.3e-3,18,-40,,,4.25e-9
258,MC150,273.3e-3,18,150,,,4.428e-9
259,MC40,273.3e-3,19,-40,,,4.456e-9
259,MC150,273.3e-3,19,150,,,4.567e-9
260,MC40,273.3e-3,20,-40,,,4.27e-9
260,MC150,273.3e-3,20,150,,,4.409e-9
261,MC40,273.3e-3,21,-40,,,4.508e-9
261,MC150,273.3e-3,21,150,,,4.629e-9
262,MC40,273.3e-3,22,-40,,,4.032e-9
262,MC150,273.3e-3,22,150,,,4.146e-9
263,MC40,273.3e-3,23,-40,,,4.402e-9
263,MC150,273.3e-3,23,150,,,4.525e-9
264,MC40,273.3e-3,24,-40,,,4.318e-9
264,MC150,273.3e-3,24,150,,,4.361e-9
265,MC40,273.3e-3,25,-40,,,4.532e-9
265,MC150,273.3e-3,25,150,,,4.652e-9
266,MC40,273.3e-3,26,-40,,,4.203e-9
266,MC150,273.3e-3,26,150,,,4.32e-9
267,MC40,273.3e-3,27,-40,,,4.404e-9
