Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,Delay
141,C0,615e-3,1,-40,,1.826e-9
141,C1,615e-3,1,150,,1.936e-9
142,C0,615e-3,2,-40,,1.751e-9
142,C1,615e-3,2,150,,1.866e-9
143,C0,615e-3,3,-40,,1.817e-9
143,C1,615e-3,3,150,,1.957e-9
144,C0,615e-3,4,-40,,1.793e-9
144,C1,615e-3,4,150,,1.905e-9
145,C0,615e-3,5,-40,,1.848e-9
145,C1,615e-3,5,150,,1.983e-9
146,C0,615e-3,6,-40,,1.755e-9
146,C1,615e-3,6,150,,1.89e-9
147,C0,615e-3,7,-40,,1.812e-9
147,C1,615e-3,7,150,,1.904e-9
148,C0,615e-3,8,-40,,1.85e-9
148,C1,615e-3,8,150,,1.96e-9
149,C0,615e-3,9,-40,,1.805e-9
149,C1,615e-3,9,150,,1.935e-9
150,C0,615e-3,10,-40,,1.839e-9
150,C1,615e-3,10,150,,1.952e-9
151,C0,615e-3,11,-40,,1.781e-9
151,C1,615e-3,11,150,,1.929e-9
152,C0,615e-3,12,-40,,1.82e-9
152,C1,615e-3,12,150,,1.951e-9
153,C0,615e-3,13,-40,,1.788e-9
153,C1,615e-3,13,150,,1.897e-9
154,C0,615e-3,14,-40,,1.804e-9
154,C1,615e-3,14,150,,1.919e-9
155,C0,615e-3,15,-40,,1.773e-9
155,C1,615e-3,15,150,,1.911e-9
156,C0,615e-3,16,-40,,1.771e-9
156,C1,615e-3,16,150,,1.879e-9
157,C0,615e-3,17,-40,,1.825e-9
157,C1,615e-3,17,150,,1.949e-9
158,C0,615e-3,18,-40,,1.786e-9
158,C1,615e-3,18,150,,1.931e-9
159,C0,615e-3,19,-40,,1.848e-9
159,C1,615e-3,19,150,,1.966e-9
160,C0,615e-3,20,-40,,1.759e-9
160,C1,615e-3,20,150,,1.884e-9
161,C0,615e-3,21,-40,,1.806e-9
161,C1,615e-3,21,150,,1.916e-9
162,C0,615e-3,22,-40,,1.798e-9
162,C1,615e-3,22,150,,1.976e-9
163,C0,615e-3,23,-40,,1.834e-9
163,C1,615e-3,23,150,,1.953e-9
164,C0,615e-3,24,-40,,1.829e-9
164,C1,615e-3,24,150,,1.957e-9
165,C0,615e-3,25,-40,,1.77e-9
165,C1,615e-3,25,150,,1.878e-9
166,C0,615e-3,26,-40,,1.833e-9
166,C1,615e-3,26,150,,1.993e-9
167,C0,615e-3,27,-40,,1.796e-9
167,C1,615e-3,27,150,,1.912e-9
168,C0,615e-3,28,-40,,1.82e-9
168,C1,615e-3,28,150,,1.92e-9
169,C0,615e-3,29,-40,,1.791e-9
169,C1,615e-3,29,150,,1.91e-9
170,C0,615e-3,30,-40,,1.72e-9
170,C1,615e-3,30,150,,1.856e-9
171,C0,615e-3,31,-40,,1.808e-9
