Point,Corner,Iin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
79,C0,62.86e-9,19,-40,,,1.295e-9
79,C1,62.86e-9,19,150,,,1.178e-9
80,C0,62.86e-9,20,-40,,,1.17e-9
80,C1,62.86e-9,20,150,,,1.101e-9
81,C0,62.86e-9,21,-40,,,1.275e-9
81,C1,62.86e-9,21,150,,,1.154e-9
82,C0,62.86e-9,22,-40,,,1.063e-9
82,C1,62.86e-9,22,150,,,639.8e-12
83,C0,62.86e-9,23,-40,,,1.264e-9
83,C1,62.86e-9,23,150,,,1.149e-9
84,C0,62.86e-9,24,-40,,,1.193e-9
84,C1,62.86e-9,24,150,,,1.059e-9
85,C0,62.86e-9,25,-40,,,1.24e-9
85,C1,62.86e-9,25,150,,,1.116e-9
86,C0,62.86e-9,26,-40,,,1.175e-9
86,C1,62.86e-9,26,150,,,938.5e-12
87,C0,62.86e-9,27,-40,,,1.236e-9
87,C1,62.86e-9,27,150,,,1.144e-9
88,C0,62.86e-9,28,-40,,,1.318e-9
88,C1,62.86e-9,28,150,,,1.209e-9
89,C0,62.86e-9,29,-40,,,1.2e-9
89,C1,62.86e-9,29,150,,,1.095e-9
90,C0,62.86e-9,30,-40,,,1.114e-9
90,C1,62.86e-9,30,150,,,895.9e-12
91,C0,62.86e-9,31,-40,,,1.248e-9
91,C1,62.86e-9,31,150,,,1.115e-9
92,C0,62.86e-9,32,-40,,,1.263e-9
92,C1,62.86e-9,32,150,,,1.152e-9
93,C0,62.86e-9,33,-40,,,1.215e-9
93,C1,62.86e-9,33,150,,,1.091e-9
94,C0,62.86e-9,34,-40,,,1.291e-9
94,C1,62.86e-9,34,150,,,1.169e-9
95,C0,62.86e-9,35,-40,,,1.207e-9
95,C1,62.86e-9,35,150,,,1.061e-9
96,C0,62.86e-9,36,-40,,,1.164e-9
96,C1,62.86e-9,36,150,,,1.012e-9
97,C0,62.86e-9,37,-40,,,1.252e-9
97,C1,62.86e-9,37,150,,,1.16e-9
98,C0,62.86e-9,38,-40,,,1.216e-9
98,C1,62.86e-9,38,150,,,1.097e-9
99,C0,62.86e-9,39,-40,,,1.225e-9
99,C1,62.86e-9,39,150,,,1.028e-9
100,C0,62.86e-9,40,-40,,,1.144e-9
100,C1,62.86e-9,40,150,,,992e-12
101,C0,62.86e-9,41,-40,,,1.253e-9
101,C1,62.86e-9,41,150,,,1.088e-9
102,C0,62.86e-9,42,-40,,,1.157e-9
102,C1,62.86e-9,42,150,,,997.5e-12
103,C0,62.86e-9,43,-40,,,1.295e-9
103,C1,62.86e-9,43,150,,,1.1e-9
104,C0,62.86e-9,44,-40,,,1.191e-9
104,C1,62.86e-9,44,150,,,1.054e-9
105,C0,62.86e-9,45,-40,,,1.278e-9
105,C1,62.86e-9,45,150,,,1.176e-9
106,C0,62.86e-9,46,-40,,,1.252e-9
106,C1,62.86e-9,46,150,,,1.154e-9
107,C0,62.86e-9,47,-40,,,1.259e-9
107,C1,62.86e-9,47,150,,,1.115e-9
108,C0,62.86e-9,48,-40,,,1.236e-9
108,C1,62.86e-9,48,150,,,1.093e-9
109,C0,62.86e-9,49,-40,,,1.125e-9
109,C1,62.86e-9,49,150,,,865e-12
